236,146,591,424,386,389,283,760,628,763,566,535,365,610,419,84,
137,360,707,598,927,910,876,1147,1259,1150,1101,934,861,647,366,177,
326,805,907,1051,1019,1132,1658,1552,1980,1683,1498,1284,1248,1359,1017,421,
119,595,1133,1299,1426,1379,1389,1357,1329,1274,1470,1359,1105,896,877,255,
286,817,1244,1042,1389,1576,1435,1010,974,1228,1009,1116,1421,1683,1118,399,
322,1002,1379,1130,1263,1753,1325,909,976,673,1477,1686,1606,1553,1053,530,
391,996,1388,1269,1491,1825,1492,1345,986,580,1075,1096,1620,1595,1270,541,
492,1152,1238,1024,1223,1348,1486,1233,1284,989,1740,1411,1190,1474,867,479,
295,1066,1322,1084,981,1408,1551,1645,1685,1636,1477,1270,1221,1384,857,442,
351,702,1173,1006,991,1078,1334,1636,1495,1699,1086,1159,993,1054,935,480,
443,928,1377,1307,1083,827,1466,1575,1621,1367,1707,1734,1026,1186,817,606,
339,611,1354,1363,1290,751,1367,1359,1417,1157,1322,1389,1410,1214,717,482,
495,930,1252,963,1166,719,1127,1486,1287,1584,1339,1435,1574,1258,959,280,
301,702,944,1083,1302,1632,1535,1596,1106,1470,1583,1551,939,932,740,272,
442,558,695,710,506,782,696,727,915,1052,1121,859,746,584,138,44,
260,225,359,437,669,881,882,588,415,177,599,560,452,437,452,100,

125,143,222,52,128,187,156,298,247,246,137,222,128,180,62,87,
151,400,404,562,292,515,734,649,875,680,683,361,587,390,236,89,
120,284,516,864,707,848,871,932,1099,1164,1007,817,846,537,414,50,
185,410,523,460,936,615,641,678,977,1136,779,898,1005,709,384,201,
320,381,685,706,941,779,795,494,652,559,781,805,853,820,570,232,
287,456,916,966,879,1198,733,698,350,443,798,800,796,759,740,178,
286,535,466,777,870,1071,1035,716,373,672,835,1017,925,1221,581,259,
336,571,698,420,844,925,1179,548,764,693,829,877,865,1015,602,271,
365,403,964,529,523,574,1016,901,1018,926,662,910,714,670,657,236,
302,440,688,744,661,563,739,996,865,886,782,941,668,692,466,169,
361,497,663,728,886,453,887,868,911,581,638,709,871,949,646,193,
283,650,652,632,764,607,771,1074,610,705,732,775,840,660,516,198,
146,772,602,764,417,683,724,1233,622,980,981,928,646,591,366,56,
194,357,940,726,476,689,904,755,1160,782,893,818,868,599,320,192,
117,292,482,526,598,759,759,526,708,479,826,851,625,311,386,112,
0,329,32,231,392,459,452,316,0,237,295,358,69,222,251,0,

