-3	 16	 11	 7	 0	 4	 15	 7	 14	 12	 8	 1	 17	 -3	 
7	 -1	 5	 9	 -2	 10	 5	 15	 16	 15	 7	 14	 -2	 6	 
-3	 7	 1	 1	 15	 7	 10	 4	 12	 1	 12	 6	 15	 11	 
16	 13	 11	 16	 17	 -2	 9	 1	 -2	 13	 -1	 -2	 10	 6	 
1	 0	 12	 4	 13	 15	 6	 2	 7	 7	 13	 15	 16	 8	 
4	 8	 -1	 16	 16	 4	 -2	 -1	 3	 14	 7	 9	 9	 5	 
14	 14	 10	 -1	 12	 17	 7	 1	 -1	 5	 9	 17	 6	 16	 
12	 6	 7	 -1	 11	 2	 3	 6	 11	 10	 8	 -1	 7	 1	 
13	 1	 11	 2	 7	 11	 10	 10	 16	 5	 -1	 9	 12	 1	 
5	 -1	 6	 0	 16	 6	 5	 9	 1	 1	 9	 10	 0	 16	 
9	 6	 13	 -1	 6	 11	 17	 8	 16	 14	 11	 -1	 9	 0	 
-1	 15	 -3	 3	 5	 16	 10	 17	 4	 3	 6	 13	 9	 9	 
-3	 11	 9	 4	 7	 -1	 -1	 6	 2	 16	 17	 10	 2	 3	 
10	 -1	 4	 15	 15	 10	 4	 -2	 16	 15	 5	 -3	 12	 -3	 

10	 8	 11	 -2	 8	 17	 6	 12	 16	 11	 -2	 16	 -1	 11	 
-2	 8	 2	 10	 8	 -2	 13	 15	 16	 -2	 13	 3	 -3	 -2	 
-1	 -2	 -1	 13	 8	 8	 1	 14	 5	 16	 10	 5	 15	 4	 
-1	 17	 16	 4	 7	 7	 8	 2	 7	 10	 13	 9	 2	 13	 
2	 15	 13	 9	 16	 9	 0	 2	 7	 0	 9	 0	 11	 1	 
13	 3	 3	 13	 8	 15	 -3	 6	 11	 10	 14	 7	 11	 7	 
-2	 17	 -2	 3	 9	 16	 5	 17	 13	 3	 15	 6	 8	 14	 
-1	 0	 6	 0	 4	 9	 13	 10	 15	 7	 10	 5	 5	 4	 
5	 3	 10	 7	 2	 8	 14	 7	 5	 10	 14	 15	 0	 13	 
-2	 4	 13	 16	 -1	 -2	 13	 -1	 -3	 6	 14	 16	 11	 2	 
14	 0	 4	 1	 14	 1	 16	 -1	 4	 11	 5	 14	 14	 5	 
5	 8	 11	 6	 17	 15	 0	 15	 1	 13	 6	 -2	 -2	 0	 
12	 12	 3	 0	 1	 6	 -1	 15	 10	 16	 10	 -1	 -1	 0	 
15	 0	 13	 13	 12	 16	 14	 -1	 4	 -1	 13	 6	 7	 14	 

16	 -2	 6	 0	 0	 14	 -1	 15	 8	 3	 0	 11	 9	 6	 
4	 0	 8	 12	 15	 16	 13	 3	 5	 3	 17	 3	 4	 8	 
9	 13	 7	 3	 14	 0	 5	 6	 17	 2	 -3	 9	 15	 4	 
14	 -1	 4	 1	 6	 3	 0	 11	 -2	 8	 14	 6	 10	 0	 
14	 1	 -1	 3	 12	 3	 13	 -1	 -2	 5	 2	 5	 8	 13	 
13	 -1	 2	 12	 -3	 12	 15	 1	 -1	 9	 13	 4	 13	 9	 
13	 1	 9	 3	 11	 13	 11	 3	 9	 -3	 2	 10	 13	 10	 
14	 3	 6	 9	 0	 -3	 17	 1	 17	 4	 5	 0	 -3	 12	 
13	 3	 6	 15	 1	 2	 14	 16	 1	 12	 9	 6	 0	 8	 
14	 5	 10	 11	 1	 8	 8	 16	 1	 4	 -3	 2	 11	 13	 
17	 11	 5	 9	 -3	 3	 17	 0	 14	 12	 0	 6	 -3	 15	 
5	 3	 16	 -2	 2	 4	 6	 4	 1	 5	 14	 8	 -2	 12	 
7	 6	 14	 -2	 2	 2	 11	 16	 8	 2	 1	 16	 17	 1	 
0	 -1	 1	 4	 12	 14	 14	 14	 1	 12	 14	 9	 0	 13	 

