-2	7	-23	51	72	163	76	58	137	49	44	-90	25	129	28	-5	
54	113	39	24	238	128	-50	36	32	235	106	104	189	141	184	30	
168	-96	199	187	271	256	262	437	167	220	-74	188	252	-35	-18	-21	
282	239	198	233	351	214	131	-162	-68	299	67	166	104	214	204	10	
79	91	145	176	568	435	167	134	124	-107	-52	75	-17	226	53	69	
149	65	223	245	99	143	80	343	253	229	340	312	393	279	-64	-37	
72	214	97	565	239	206	132	25	89	23	208	176	71	159	278	99	
32	209	260	137	4	105	184	191	462	618	229	207	414	269	180	142	
166	168	203	326	164	146	-58	69	20	-4	226	124	143	295	4	79	
176	148	220	72	-8	-265	4	247	275	351	152	210	33	234	61	40	
72	145	306	110	108	114	16	101	49	307	174	381	234	145	90	41	
95	235	217	230	146	53	275	359	323	385	143	170	6	45	-100	-124	
128	274	204	-62	239	211	66	10	169	311	169	325	192	100	86	-15	
155	-19	215	212	193	42	90	168	-131	177	141	95	78	-210	-27	-82	
150	99	190	189	-46	191	378	135	74	231	-143	97	125	-122	96	24	
15	153	-35	109	190	119	-18	-31	51	96	4	68	-37	72	3	-52	

19	-15	7	15	22	-60	-28	90	-57	83	5	97	-7	-109	56	-26	
76	-110	84	-14	252	53	239	173	-89	198	-95	205	-32	-32	247	43	
79	-22	168	282	228	179	332	38	24	-64	-34	280	-117	275	33	61	
-47	14	222	115	167	83	107	130	136	50	138	143	99	147	128	38	
-2	-92	164	98	88	27	175	267	79	58	103	140	51	209	115	162	
24	71	83	171	-155	209	32	170	173	225	110	-19	131	11	25	105	
-6	48	87	150	95	169	25	153	191	39	10	175	252	59	89	86	
106	-2	108	214	70	139	104	56	9	150	212	195	175	89	-117	165	
95	62	131	52	60	-14	77	-23	138	221	223	185	-99	121	-73	179	
15	25	154	76	283	-83	75	76	123	144	36	260	86	229	179	11	
31	146	271	165	274	99	98	38	85	36	75	328	26	160	44	89	
149	146	193	91	100	-108	94	112	17	54	-170	209	36	59	139	1	
114	-1	171	16	33	54	295	143	-50	119	-53	317	131	50	130	-91	
115	14	89	134	195	286	98	127	262	169	20	252	59	78	151	-107	
-8	119	101	119	93	61	174	51	122	96	4	213	50	-56	-3	-46	
38	11	17	28	-1	21	-85	-50	67	72	86	29	-65	-26	-35	11	

